ID,TrainDate,TrainNo,StartingStation,EndingStation,TrainTypePrice,TrainTypeName,ArrivalTime,DepartureTime
278,2022/1/14,2122,彰化,后里,5,區間,06:05:00,06:05:00
279,2022/1/14,2123,北湖,嘉義,5,區間,06:29:00,06:31:00
280,2022/1/14,2124,嘉義,基隆,5,區間,05:00:00,05:00:00
281,2022/1/14,2128,嘉義,銅鑼,5,區間,05:20:00,05:20:00
282,2022/1/14,2131,豐原,彰化,5,區間,08:44:00,08:44:00
283,2022/1/14,2133,基隆,嘉義,5,區間,05:11:00,05:11:00
284,2022/1/14,2134,嘉義,基隆,5,區間,05:40:00,05:40:00
285,2022/1/14,2138,新營,后里,5,區間,05:33:00,05:33:00
286,2022/1/14,2143,基隆,嘉義,5,區間,06:18:00,06:18:00
287,2022/1/14,2144,嘉義,基隆,5,區間,06:48:00,06:48:00
288,2022/1/14,2146,彰化,臺中,5,區間,08:32:00,08:32:00
289,2022/1/14,2149,臺中,彰化,5,區間,11:10:00,11:10:00
290,2022/1/14,2153,基隆,嘉義,5,區間,07:12:00,07:12:00
291,2022/1/14,2154,嘉義,基隆,5,區間,07:45:00,07:45:00
292,2022/1/14,2163,基隆,嘉義,5,區間,08:19:00,08:19:00
293,2022/1/14,2164,新營,瑞芳,5,區間,08:16:00,08:16:00
294,2022/1/14,2166,彰化,臺中,5,區間,10:23:00,10:23:00
295,2022/1/14,217,花蓮,樹林,30,普悠瑪,11:08:00,11:08:00
296,2022/1/14,2173,基隆,嘉義,5,區間,09:20:00,09:20:00
297,2022/1/14,2174,嘉義,瑞芳,5,區間,09:51:00,09:51:00
298,2022/1/14,218,樹林,花蓮,30,普悠瑪,09:52:00,10:04:00
299,2022/1/14,2183,基隆,嘉義,5,區間,10:20:00,10:20:00
300,2022/1/14,2184,嘉義,基隆,5,區間,10:51:00,10:51:00
301,2022/1/14,219,花蓮,樹林,30,太魯閣,12:00:00,12:00:00
302,2022/1/14,2190,彰化,豐原,5,區間,13:02:00,13:02:00
303,2022/1/14,2191,豐原,彰化,5,區間,15:02:00,15:02:00
304,2022/1/14,2193,基隆,嘉義,5,區間,11:15:00,11:15:00
305,2022/1/14,2194,嘉義,基隆,5,區間,11:51:00,11:51:00
306,2022/1/14,2203,基隆,嘉義,5,區間,12:18:00,12:18:00
307,2022/1/14,2204,嘉義,基隆,5,區間,12:51:00,12:51:00
308,2022/1/14,221,花蓮,樹林,30,自強(DMU2800 型柴聯),12:15:00,12:15:00
309,2022/1/14,2213,基隆,嘉義,5,區間,13:17:00,13:17:00
310,2022/1/14,2214,嘉義,基隆,5,區間,13:37:00,13:37:00
311,2022/1/14,222,樹林,鳳林,30,普悠瑪,11:08:00,11:22:00
312,2022/1/14,2223,基隆,嘉義,5,區間,14:21:00,14:21:00
313,2022/1/14,2224,嘉義,基隆,5,區間,14:28:00,14:28:00
314,2022/1/14,2226,彰化,臺中,5,區間,16:25:00,16:25:00
315,2022/1/14,223,花蓮,樹林,30,普悠瑪,13:59:00,13:59:00
316,2022/1/14,2233,瑞芳,嘉義,5,區間,15:09:00,15:09:00
317,2022/1/14,2234,嘉義,基隆,5,區間,15:32:00,15:32:00
318,2022/1/14,2236,彰化,臺中,5,區間,17:20:00,17:20:00
319,2022/1/14,2237,北湖,新烏日,5,區間,17:39:00,17:46:00
320,2022/1/14,224,樹林,花蓮,30,自強(DMU2900 型柴聯),11:22:00,11:27:00
321,2022/1/14,2243,瑞芳,嘉義,5,區間,16:13:00,16:13:00
322,2022/1/14,2244,嘉義,七堵,5,區間,16:35:00,16:35:00
323,2022/1/14,2246,彰化,臺中,5,區間,18:24:00,18:24:00
324,2022/1/14,225,鳳林,樹林,30,普悠瑪,14:47:00,14:47:00
325,2022/1/14,2253,基隆,嘉義,5,區間,17:07:00,17:07:00
326,2022/1/14,2254,嘉義,基隆,5,區間,17:47:00,17:47:00
327,2022/1/14,2257,后里,嘉義,5,區間,21:10:00,21:10:00
328,2022/1/14,2260,二水,彰化,5,區間,19:24:00,19:24:00
329,2022/1/14,2263,基隆,嘉義,5,區間,18:02:00,18:02:00
330,2022/1/14,2264,嘉義,基隆,5,區間,18:45:00,18:45:00
331,2022/1/14,2267,后里,員林,5,區間,22:13:00,22:13:00
332,2022/1/14,2269,苗栗,二水,5,區間,22:14:00,22:14:00
333,2022/1/14,2270,新烏日,苗栗,5,區間,20:39:00,20:39:00
334,2022/1/14,2273,基隆,彰化,5,區間,19:15:00,19:15:00
335,2022/1/14,2274,嘉義,北湖,5,區間,19:54:00,19:54:00
336,2022/1/14,228,樹林,志學,30,普悠瑪,12:44:00,12:49:00
337,2022/1/14,2284,嘉義,新竹,5,區間,20:50:00,20:50:00
338,2022/1/14,229,志學,樹林,30,普悠瑪,16:12:00,16:12:00
339,2022/1/14,2294,嘉義,彰化,5,區間,22:00:00,22:00:00
340,2022/1/14,230,樹林,花蓮,30,太魯閣,13:21:00,13:26:00
341,2022/1/14,232,樹林,壽豐,30,普悠瑪,14:00:00,14:05:00
342,2022/1/14,235,花蓮,樹林,30,自強(DMU2900 型柴聯),18:00:00,18:00:00
343,2022/1/14,236,樹林,花蓮,30,自強(DMU2800 型柴聯),15:18:00,15:23:00
344,2022/1/14,237,花蓮,樹林,30,普悠瑪,19:24:00,19:24:00
345,2022/1/14,238,樹林,花蓮,30,普悠瑪,15:58:00,16:03:00
346,2022/1/14,241,花蓮,樹林,30,自強(推拉式自強號且無自行車車廂),19:35:00,19:35:00
347,2022/1/14,246,樹林,花蓮,30,自強(DMU2900 型柴聯),18:11:00,18:18:00
348,2022/1/14,247,花蓮,樹林,30,普悠瑪,20:30:00,20:30:00
349,2022/1/14,248,樹林,花蓮,30,太魯閣,19:01:00,19:01:00
350,2022/1/14,249,花蓮,樹林,30,自強(推拉式自強號且無自行車車廂),21:04:00,21:04:00
351,2022/1/14,2501,大甲,彰化,5,區間,05:01:00,05:01:00
352,2022/1/14,2502,大甲,新竹,5,區間,05:00:00,05:00:00
353,2022/1/14,2503,新竹,彰化,5,區間,04:55:00,04:55:00
354,2022/1/14,2504,彰化,北湖,5,區間,05:04:00,05:04:00
355,2022/1/14,2507,新竹,彰化,5,區間,05:31:00,05:31:00
356,2022/1/14,2511,新竹,彰化,5,區間,06:34:00,06:34:00
357,2022/1/14,2512,彰化,新竹,5,區間,06:11:00,06:11:00
358,2022/1/14,2513,新竹,彰化,5,區間,08:28:00,08:28:00
359,2022/1/14,2514,彰化,新竹,5,區間,07:17:00,07:17:00
360,2022/1/14,2517,北湖,彰化,5,區間,08:45:00,08:48:00
361,2022/1/14,2518,田中,新竹,5,區間,07:32:00,07:32:00
362,2022/1/14,252,樹林,壽豐,30,普悠瑪,20:17:00,20:22:00
363,2022/1/14,2521,新竹,彰化,5,區間,10:04:00,10:04:00
364,2022/1/14,2522,彰化,北湖,5,區間,09:26:00,09:26:00
365,2022/1/14,2523,新竹,彰化,5,區間,11:17:00,11:17:00
366,2022/1/14,2524,彰化,竹南,5,區間,10:11:00,10:11:00
367,2022/1/14,2527,竹南,彰化,5,區間,12:36:00,12:36:00
368,2022/1/14,2528,彰化,竹南,5,區間,10:59:00,10:59:00
369,2022/1/14,2531,竹南,彰化,5,區間,13:30:00,13:30:00
370,2022/1/14,2532,彰化,竹南,5,區間,11:58:00,11:58:00
371,2022/1/14,2533,竹南,彰化,5,區間,14:30:00,14:30:00
372,2022/1/14,2534,彰化,新竹,5,區間,12:58:00,12:58:00
373,2022/1/14,2537,北湖,彰化,5,區間,15:00:00,15:04:00
374,2022/1/14,2538,彰化,北湖,5,區間,13:58:00,13:58:00
375,2022/1/14,2541,新竹,彰化,5,區間,16:20:00,16:20:00
376,2022/1/14,2542,彰化,新竹,5,區間,15:16:00,15:16:00
377,2022/1/14,2543,北湖,彰化,5,區間,16:52:00,16:59:00
378,2022/1/14,2544,彰化,新竹,5,區間,16:16:00,16:16:00
379,2022/1/14,2547,新竹,彰化,5,區間,18:22:00,18:22:00
380,2022/1/14,2548,彰化,新竹,5,區間,16:56:00,16:56:00
381,2022/1/14,2551,新竹,彰化,5,區間,19:30:00,19:30:00
382,2022/1/14,2552,彰化,新竹,5,區間,17:51:00,17:51:00
383,2022/1/14,2553,新竹,彰化,5,區間,20:15:00,20:15:00
384,2022/1/14,2554,彰化,竹北,5,區間,18:56:00,18:56:00
385,2022/1/14,2557,新竹,大甲,5,區間,21:15:00,21:15:00
386,2022/1/14,2558,彰化,新竹,5,區間,20:34:00,20:34:00
387,2022/1/14,2559,大甲,彰化,5,區間,22:45:00,22:45:00
388,2022/1/14,256,樹林,花蓮,30,普悠瑪,21:33:00,21:38:00
389,2022/1/14,2561,竹北,彰化,5,區間,21:55:00,21:55:00
390,2022/1/14,2562,彰化,新竹,5,區間,21:52:00,21:52:00
391,2022/1/14,2564,彰化,大甲,5,區間,22:52:00,22:52:00
392,2022/1/14,2601,大甲,豐原,5,區間,05:40:00,05:40:00
393,2022/1/14,2602,豐原,竹南,5,區間,05:47:00,05:47:00
394,2022/1/14,2603,大甲,豐原,5,區間,06:20:00,06:20:00
395,2022/1/14,2604,豐原,通霄,5,區間,08:21:00,08:21:00
396,2022/1/14,2606,臺中,通霄,5,區間,09:44:00,09:44:00
397,2022/1/14,2607,通霄,豐原,5,區間,06:35:00,06:35:00
398,2022/1/14,2608,豐原,通霄,5,區間,10:55:00,10:55:00
399,2022/1/14,261,蘇澳,樹林,30,自強(DMU2800 型柴聯),06:10:00,06:10:00
400,2022/1/14,2610,豐原,大甲,5,區間,12:36:00,12:36:00
401,2022/1/14,2611,竹南,豐原,5,區間,08:31:00,08:31:00
402,2022/1/14,2612,豐原,大甲,5,區間,13:32:00,13:32:00
403,2022/1/14,2613,通霄,豐原,5,區間,10:39:00,10:39:00
404,2022/1/14,2614,豐原,通霄,5,區間,14:08:00,14:08:00
405,2022/1/14,2615,通霄,豐原,5,區間,11:24:00,11:24:00
406,2022/1/14,2617,通霄,豐原,5,區間,13:04:00,13:04:00
407,2022/1/14,2618,臺中,大甲,5,區間,17:06:00,17:06:00
408,2022/1/14,2619,大甲,苗栗,5,區間,14:38:00,14:38:00
409,2022/1/14,262,樹林,蘇澳,30,自強(DMU2800 型柴聯),19:45:00,19:50:00
410,2022/1/14,2621,大甲,豐原,5,區間,15:34:00,15:34:00
411,2022/1/14,2622,苗栗,通霄,5,區間,16:57:00,16:57:00
412,2022/1/14,2623,通霄,豐原,5,區間,16:12:00,16:12:00
413,2022/1/14,2624,豐原,通霄,5,區間,18:32:00,18:32:00
414,2022/1/14,2627,大甲,豐原,5,區間,18:23:00,18:23:00
415,2022/1/14,2628,豐原,通霄,5,區間,20:15:00,20:15:00
416,2022/1/14,2631,通霄,臺中,5,區間,19:46:00,19:46:00
417,2022/1/14,2632,臺中,大甲,5,區間,21:31:00,21:31:00
418,2022/1/14,2633,通霄,豐原,5,區間,20:48:00,20:48:00
419,2022/1/14,2634,豐原,沙鹿,5,區間,22:07:00,22:07:00
420,2022/1/14,2702,水里,彰化,10,區間快,05:45:00,05:45:00
421,2022/1/14,2703,彰化,車埕,10,區間快,05:20:00,05:20:00
422,2022/1/14,2704,車埕,二水,5,區間,07:00:00,07:00:00
423,2022/1/14,2705,二水,車埕,5,區間,08:00:00,08:00:00
424,2022/1/14,2706,車埕,二水,5,區間,09:00:00,09:00:00
425,2022/1/14,2707,彰化,車埕,10,區間快,08:46:00,08:46:00
426,2022/1/14,2708,車埕,二水,5,區間,10:20:00,10:20:00
427,2022/1/14,271,花蓮,彰化,30,普悠瑪,10:26:00,10:26:00
428,2022/1/14,2711,田中,車埕,5,區間,10:30:00,10:30:00
429,2022/1/14,2712,車埕,二水,5,區間,11:40:00,11:40:00
430,2022/1/14,2713,田中,車埕,5,區間,11:44:00,11:44:00
431,2022/1/14,2714,車埕,二水,5,區間,13:00:00,13:00:00
432,2022/1/14,2715,二水,車埕,5,區間,13:20:00,13:20:00
433,2022/1/14,2716,車埕,田中,5,區間,14:20:00,14:20:00
434,2022/1/14,2717,二水,車埕,5,區間,14:40:00,14:40:00
435,2022/1/14,2718,車埕,田中,5,區間,15:40:00,15:40:00
436,2022/1/14,272,苗栗,花蓮,30,自強(推拉式自強號且無自行車車廂),05:27:00,05:27:00
437,2022/1/14,2721,二水,車埕,5,區間,16:00:00,16:00:00
438,2022/1/14,2722,車埕,田中,5,區間,17:10:00,17:10:00
439,2022/1/14,2723,二水,車埕,5,區間,17:30:00,17:30:00
440,2022/1/14,2724,車埕,二水,5,區間,18:35:00,18:35:00
441,2022/1/14,2725,二水,車埕,5,區間,18:55:00,18:55:00
442,2022/1/14,2726,車埕,二水,5,區間,20:00:00,20:00:00
443,2022/1/14,2727,二水,車埕,5,區間,20:20:00,20:20:00
444,2022/1/14,2728,車埕,彰化,10,區間快,21:20:00,21:20:00
445,2022/1/14,273,花蓮,彰化,30,普悠瑪,13:26:00,13:26:00
446,2022/1/14,2731,二水,車埕,5,區間,21:40:00,21:40:00
447,2022/1/14,2732,車埕,二水,5,區間,22:40:00,22:40:00
448,2022/1/14,278,員林,花蓮,30,太魯閣,06:37:00,06:37:00
449,2022/1/14,280,斗六,花蓮,30,普悠瑪,07:04:00,07:04:00
450,2022/1/14,282,彰化,花蓮,30,普悠瑪,15:43:00,15:43:00
451,2022/1/14,283,壽豐,斗六,30,普悠瑪,17:25:00,17:25:00
452,2022/1/14,285,花蓮,員林,30,太魯閣,18:18:00,18:18:00
453,2022/1/14,288,彰化,花蓮,30,普悠瑪,19:10:00,19:10:00
454,2022/1/14,301,臺南,花蓮,30,自強(推拉式自強號且無自行車車廂),06:26:00,06:26:00
455,2022/1/14,302,臺東,新左營,30,自強(推拉式自強號且無自行車車廂),05:38:00,05:38:00
456,2022/1/14,3029,大林,枋寮,10,區間快,17:03:00,17:03:00
457,2022/1/14,303,新左營,花蓮,30,普悠瑪,08:22:00,08:22:00
458,2022/1/14,3031,新左營,潮州,10,區間快,19:39:00,19:39:00
459,2022/1/14,3033,新左營,潮州,10,區間快,21:12:00,21:12:00
460,2022/1/14,3037,新左營,潮州,10,區間快,22:58:00,22:58:00
461,2022/1/14,305,新左營,臺東,30,自強(推拉式自強號且無自行車車廂),08:31:00,08:31:00
462,2022/1/14,3051,新左營,枋寮,10,區間快,06:50:00,06:50:00
463,2022/1/14,3052,枋寮,新左營,10,區間快,05:15:00,05:15:00
464,2022/1/14,3053,新左營,枋寮,10,區間快,07:49:00,07:49:00
465,2022/1/14,3054,枋寮,新左營,10,區間快,06:25:00,06:25:00
466,2022/1/14,3057,新左營,枋寮,10,區間快,10:08:00,10:08:00
467,2022/1/14,3058,枋寮,新左營,10,區間快,07:35:00,07:35:00
468,2022/1/14,306,花蓮,新左營,30,自強(DMU3100 型柴聯),06:07:00,06:07:00
469,2022/1/14,3061,新左營,枋寮,10,區間快,11:45:00,11:45:00
470,2022/1/14,3062,枋寮,新左營,10,區間快,08:30:00,08:30:00
471,2022/1/14,3063,新左營,枋寮,10,區間快,12:59:00,12:59:00
472,2022/1/14,3064,枋寮,新左營,10,區間快,09:39:00,09:39:00
473,2022/1/14,3067,新左營,枋寮,10,區間快,14:16:00,14:16:00
474,2022/1/14,307,新左營,花蓮,30,自強(DMU2900 型柴聯),10:24:00,10:24:00
475,2022/1/14,3071,新左營,枋寮,10,區間快,15:04:00,15:04:00
476,2022/1/14,3072,枋寮,新左營,10,區間快,12:13:00,12:13:00
477,2022/1/14,3073,新左營,枋寮,10,區間快,16:17:00,16:17:00
478,2022/1/14,3074,枋寮,新左營,10,區間快,13:46:00,13:46:00
479,2022/1/14,3078,枋寮,新左營,10,區間快,16:00:00,16:00:00
480,2022/1/14,308,花蓮,新左營,30,自強(DMU2900 型柴聯),09:46:00,09:46:00
481,2022/1/14,3081,新左營,枋寮,10,區間快,20:12:00,20:12:00
482,2022/1/14,3082,枋寮,新左營,10,區間快,18:04:00,18:04:00
483,2022/1/14,3084,枋寮,新左營,10,區間快,19:02:00,19:02:00
484,2022/1/14,3087,新左營,枋寮,10,區間快,22:12:00,22:12:00
485,2022/1/14,3088,枋寮,新左營,10,區間快,21:08:00,21:08:00
486,2022/1/14,311,新左營,臺東,30,自強(DMU3100 型柴聯),12:24:00,12:24:00
487,2022/1/14,3111,臺南,潮州,5,區間,05:24:00,05:24:00
488,2022/1/14,3116,臺南,嘉義,5,區間,05:37:00,05:37:00
489,2022/1/14,3117,新營,潮州,5,區間,05:03:00,05:03:00
490,2022/1/14,3118,高雄,后里,5,區間,05:05:00,05:05:00
491,2022/1/14,3121,嘉義,潮州,5,區間,05:06:00,05:06:00
492,2022/1/14,3122,屏東,嘉義,5,區間,05:00:00,05:00:00
493,2022/1/14,3127,嘉義,潮州,5,區間,05:36:00,05:36:00
494,2022/1/14,3128,潮州,后里,5,區間,04:51:00,04:56:00
495,2022/1/14,3131,二水,潮州,5,區間,05:11:00,05:11:00
496,2022/1/14,3132,潮州,嘉義,5,區間,05:22:00,05:28:00
497,2022/1/14,3137,彰化,潮州,5,區間,05:01:00,05:01:00
498,2022/1/14,3138,潮州,后里,5,區間,05:43:00,05:51:00
499,2022/1/14,3140,潮州,新左營,5,區間,06:14:00,06:20:00
500,2022/1/14,3141,民雄,潮州,5,區間,07:00:00,07:00:00
501,2022/1/14,3142,潮州,嘉義,5,區間,06:34:00,06:40:00
502,2022/1/14,3143,彰化,新營,5,區間,05:45:00,05:45:00
503,2022/1/14,3145,新左營,屏東,5,區間,09:31:00,09:31:00
504,2022/1/14,3146,潮州,后里,5,區間,06:40:00,06:48:00
